NumberOfQtrWithoutCourses,GapDelta
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
0.721842079018396,0.7344891653436404
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
0.721842079018396,0.7344891653436404
0.721842079018396,0.7344891653436404
-2.571478393225683,-2.675804811457211
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.5720942140674092
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-1.748148275164663,-1.7014351037998248
0.721842079018396,0.7344891653436404
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.9248181571036436,-1.0518552986949008
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
-0.9248181571036436,-1.0518552986949008
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.5720942140674092
0.721842079018396,0.7344891653436404
-1.748148275164663,-1.7014351037998248
0.721842079018396,0.7344891653436404
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.5720942140674092
0.721842079018396,0.7344891653436404
-2.571478393225683,-2.675804811457211
0.721842079018396,0.5720942140674092
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-2.571478393225683,-2.675804811457211
0.721842079018396,0.7344891653436404
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.9248181571036436,-1.0518552986949008
-0.10148803904262378,-0.07748559103751466
-2.571478393225683,-2.675804811457211
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
0.721842079018396,0.7344891653436404
0.721842079018396,0.5720942140674092
-12.45143980995792,-12.419501888031073
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.5720942140674092
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
0.721842079018396,0.5720942140674092
-0.10148803904262378,-0.07748559103751466
-0.9248181571036436,-1.0518552986949008
0.721842079018396,0.7344891653436404
-2.571478393225683,-2.675804811457211
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.5720942140674092
0.721842079018396,0.7344891653436404
0.721842079018396,0.5720942140674092
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
-1.748148275164663,-1.7014351037998248
0.721842079018396,0.5720942140674092
-0.9248181571036436,-1.0518552986949008
-4.218138629347723,-4.2997543242195215
-5.041468747408743,-4.9493341293244475
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.5720942140674092
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.5720942140674092
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-2.571478393225683,-2.675804811457211
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.9248181571036436,-1.0518552986949008
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.9248181571036436,-1.0518552986949008
0.721842079018396,0.7344891653436404
-0.9248181571036436,-1.0518552986949008
-0.10148803904262378,-0.07748559103751466
-0.9248181571036436,-1.0518552986949008
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.9248181571036436,-1.0518552986949008
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.9248181571036436,-1.0518552986949008
-0.10148803904262378,-0.07748559103751466
-13.274769928018939,-13.069081693135994
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.5720942140674092
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.9248181571036436,-1.0518552986949008
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
-0.9248181571036436,-1.0518552986949008
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
0.721842079018396,0.7344891653436404
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
-0.9248181571036436,-1.0518552986949008
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
0.721842079018396,0.7344891653436404
0.721842079018396,0.7344891653436404
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
0.721842079018396,0.5720942140674092
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-3.3948085112867035,-3.3253846165621352
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
-0.9248181571036436,-1.0518552986949008
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.5720942140674092
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
0.721842079018396,0.5720942140674092
0.721842079018396,0.7344891653436404
0.721842079018396,0.5720942140674092
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.5720942140674092
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-1.748148275164663,-1.7014351037998248
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.5720942140674092
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.5720942140674092
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
-0.10148803904262378,-0.07748559103751466
0.721842079018396,0.7344891653436404
